Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SG,Financial services,A,Annual,A,Annual,USM,Million US dollar,2015,,,,580.2
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SG,Financial services,A,Annual,A,Annual,USM,Million US dollar,2013,,,,740.63
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SG,Financial services,A,Annual,A,Annual,USM,Million US dollar,2017,,,,752.33
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SG,Financial services,A,Annual,A,Annual,USM,Million US dollar,2016,,,,724
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SG,Financial services,A,Annual,A,Annual,USM,Million US dollar,2012,,,,604.11
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SH,Charges for the use of intellectual property n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2016,,,,69.13
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SH,Charges for the use of intellectual property n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2017,,,,101.45
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SH,Charges for the use of intellectual property n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2015,,,,84.67
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SH,Charges for the use of intellectual property n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2013,,,,61.99
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SH,Charges for the use of intellectual property n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2014,,,,56.7
